,Population,Income,Illiteracy,Life.Exp,Murder,HS.Grad,Frost,Area
Alaska,365,6315,1.5,69.31,11.3,66.7,152,566432
Arizona,2212,4530,1.8,70.55,7.8,58.1,15,113417
California,21198,5114,1.1,71.71,10.3,62.6,20,156361
Colorado,2541,4884,0.7,72.06,6.8,63.9,166,103766
Connecticut,3100,5348,1.1,72.48,3.1,56,139,4862
Delaware,579,4809,0.9,70.06,6.2,54.6,103,1982
Florida,8277,4815,1.3,70.66,10.7,52.6,11,54090
Hawaii,868,4963,1.9,73.6,6.2,61.9,0,6425
Illinois,11197,5107,0.9,70.14,10.3,52.6,127,55748
Iowa,2861,4628,0.5,72.56,2.3,59,140,55941
Kansas,2280,4669,0.6,72.58,4.5,59.9,114,81787
Maryland,4122,5299,0.9,70.22,8.5,52.3,101,9891
Massachusetts,5814,4755,1.1,71.83,3.3,58.5,103,7826
Michigan,9111,4751,0.9,70.63,11.1,52.8,125,56817
Minnesota,3921,4675,0.6,72.96,2.3,57.6,160,79289
Nebraska,1544,4508,0.6,72.6,2.9,59.3,139,76483
Nevada,590,5149,0.5,69.03,11.5,65.2,188,109889
New Jersey,7333,5237,1.1,70.93,5.2,52.5,115,7521
New York,18076,4903,1.4,70.55,10.9,52.7,82,47831
North Dakota,637,5087,0.8,72.78,1.4,50.3,186,69273
Ohio,10735,4561,0.8,70.82,7.4,53.2,124,40975
Oregon,2284,4660,0.6,72.13,4.2,60,44,96184
Rhode Island,931,4558,1.3,71.9,2.4,46.4,127,1049
Virginia,4981,4701,1.4,70.08,9.5,47.8,85,39780
Washington,3559,4864,0.6,71.72,4.3,63.5,32,66570
Wyoming,376,4566,0.6,70.29,6.9,62.9,173,97203
